1,1,main,displayUsernames,Fri May 01 00:01:17 EEST 2020
2,0,main,displayUserDetails,Thu Jun 04 15:35:13 EEST 2020
3,0,main,displayTicketsForUser,Thu Jun 04 15:35:16 EEST 2020
4,0,main,displayTicketsForEventId,Thu Jun 04 15:35:21 EEST 2020
5,0,main,displayEventLocations,Thu Jun 04 15:35:23 EEST 2020
6,0,main,displayStandardTickets,Thu Jun 04 15:35:24 EEST 2020
7,0,main,displayPremiumTickets,Thu Jun 04 15:35:25 EEST 2020
8,1,main,displayUserDetails,Thu Jun 04 15:39:59 EEST 2020
9,1,main,displayEvents,Thu Jun 04 15:40:00 EEST 2020
10,3,main,displayAuditRecords,Thu Jun 04 15:42:40 EEST 2020
11,1,main,displayEventLocations,Thu Jun 04 15:48:51 EEST 2020
12,1,main,displayStandardTickets,Thu Jun 04 15:48:52 EEST 2020
13,1,main,displayAuditRecords,Thu Jun 04 15:48:52 EEST 2020
14,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 21:41:32 EEST 2020
15,0,AWT-EventQueue-0,getEvents,Thu Jun 04 21:41:46 EEST 2020
16,0,AWT-EventQueue-0,getEventLocations,Thu Jun 04 21:41:51 EEST 2020
17,0,AWT-EventQueue-0,getStandardTickets,Thu Jun 04 21:41:52 EEST 2020
18,0,AWT-EventQueue-0,getPremiumTickets,Thu Jun 04 21:41:53 EEST 2020
19,0,AWT-EventQueue-0,getAuditRecords,Thu Jun 04 21:41:54 EEST 2020
20,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 21:43:28 EEST 2020
21,0,AWT-EventQueue-0,getEvents,Thu Jun 04 21:43:29 EEST 2020
22,0,AWT-EventQueue-0,getEventLocations,Thu Jun 04 21:43:29 EEST 2020
23,0,AWT-EventQueue-0,getStandardTickets,Thu Jun 04 21:43:30 EEST 2020
24,0,AWT-EventQueue-0,getPremiumTickets,Thu Jun 04 21:43:30 EEST 2020
25,0,AWT-EventQueue-0,getAuditRecords,Thu Jun 04 21:43:30 EEST 2020
26,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 21:44:18 EEST 2020
27,0,AWT-EventQueue-0,getEvents,Thu Jun 04 21:44:18 EEST 2020
28,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:12:54 EEST 2020
29,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:13:50 EEST 2020
30,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:15:07 EEST 2020
31,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:15:24 EEST 2020
32,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:15:38 EEST 2020
33,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:16:11 EEST 2020
34,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:16:42 EEST 2020
35,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:17:13 EEST 2020
36,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:17:56 EEST 2020
37,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:18:08 EEST 2020
38,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:19:03 EEST 2020
39,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:20:16 EEST 2020
40,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:20:46 EEST 2020
41,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:22:06 EEST 2020
42,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:28:49 EEST 2020
43,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:30:21 EEST 2020
44,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:30:39 EEST 2020
45,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:30:41 EEST 2020
46,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:31:56 EEST 2020
47,1,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:32:09 EEST 2020
48,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:32:58 EEST 2020
49,0,AWT-EventQueue-0,getTicketsForUser,Thu Jun 04 22:38:45 EEST 2020
50,0,AWT-EventQueue-0,getEvents,Thu Jun 04 22:38:45 EEST 2020
51,0,AWT-EventQueue-0,getEventLocations,Thu Jun 04 22:38:45 EEST 2020
52,0,AWT-EventQueue-0,getStandardTickets,Thu Jun 04 22:38:46 EEST 2020
53,0,AWT-EventQueue-0,getPremiumTickets,Thu Jun 04 22:38:47 EEST 2020
54,0,AWT-EventQueue-0,getAuditRecords,Thu Jun 04 22:38:48 EEST 2020
